route_name,from_stop_name,to_stop_name,total_passenger,total_amount,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,Borivali Station East,230,1150,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,Dahisar Station Road East,67,335,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,Daulat Nagar,3,15,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,Dindoshi Bus Station,24,360,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,General Arun Kumar Vaidya Marg Junction,6,90,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,Kashi Mira,3,15,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,Ketaki Pada,5,25,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,Kurar Village,1,15,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,Magathane Depot,5,50,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,Magathane Telecom Exchange,4,40,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,Mahindra Company Gate Or B H A D Colony,7,70,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,Novelty Silk Mill,3,15,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,Omkareshwar Mandir,4,40,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,St Xaviers High School,2,10,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,Transport Corporation,8,40,,,,,,,,,,,,,,,,,,,,,,
7051,Golden Chemicals,Western Park,169,845,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,Bandongri,11,165,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,Borivali Station East,68,680,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,Dahisar Station Road East,117,585,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,Daulat Nagar,8,80,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,Dindoshi Bus Station,22,330,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,General Arun Kumar Vaidya Marg Junction,9,135,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,Golden Chemicals,8,40,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,Ketaki Pada,9,45.06,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,Kurar Village,13,195,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,Magathane Depot,11,110,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,Magathane Telecom Exchange,3,30,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,Mahindra Company Gate Or B H A D Colony,13,130,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,Novelty Silk Mill,24,120,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,Omkareshwar Mandir,1,10,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,St Xaviers High School,1,5,,,,,,,,,,,,,,,,,,,,,,
7051,Kashi Mira,Western Park,57,285,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,Bandongri,2,20,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,Borivali Station East,66,330,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,Dahisar Station Road East,17,85,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,Daulat Nagar,3,15,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,Dindoshi Bus Station,3,45,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,General Arun Kumar Vaidya Marg Junction,1,15,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,Golden Chemicals,2,10,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,Kashi Mira,17,85.06,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,Kurar Village,2,20,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,Magathane Depot,4,40,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,Magathane Telecom Exchange,1,10,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,Mahindra Company Gate Or B H A D Colony,4,40,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,Omkareshwar Mandir,4,20,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,St Xaviers High School,16,80,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,Transport Corporation,8,40,,,,,,,,,,,,,,,,,,,,,,
7051,Ketaki Pada,Western Park,261,1305.18,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,Bandongri,30,150,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,Borivali Station East,49,490,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,Dahisar Station Road East,18,180,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,Daulat Nagar,9,90,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,Dindoshi Bus Station,115,575,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,Golden Chemicals,5,75,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,Kashi Mira,10,150,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,Ketaki Pada,2,20,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,Magathane Depot,68,340,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,Magathane Telecom Exchange,81,405,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,Mahindra Company Gate Or B H A D Colony,38,190,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,Novelty Silk Mill,17,170.11,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,Omkareshwar Mandir,177,885,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,St Xaviers High School,2,30,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,Transport Corporation,4,60,,,,,,,,,,,,,,,,,,,,,,
7051,Kurar Village,Western Park,12,180,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,Bandongri,22,110,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,Borivali Station East,154,770.06,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,Dahisar Station Road East,49,245,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,Daulat Nagar,5,25,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,Dindoshi Bus Station,65,650,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,General Arun Kumar Vaidya Marg Junction,8,80,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,Golden Chemicals,3,30,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,Kashi Mira,19,190,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,Ketaki Pada,7,70.11,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,Kurar Village,64,320,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,Magathane Telecom Exchange,1,5,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,Mahindra Company Gate Or B H A D Colony,16,80,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,Novelty Silk Mill,27,135,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,Omkareshwar Mandir,6,30,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,St Xaviers High School,6,60,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,Transport Corporation,4,40,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Depot,Western Park,35,350,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,Bandongri,7,35,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,Borivali Station East,149,745.06,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,Dahisar Station Road East,41,205.06,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,Daulat Nagar,8,40,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,Dindoshi Bus Station,320,1600,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,General Arun Kumar Vaidya Marg Junction,6,30,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,Golden Chemicals,8,80,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,Kashi Mira,4,40,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,Ketaki Pada,4,40,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,Kurar Village,32,160,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,Mahindra Company Gate Or B H A D Colony,3,15,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,Novelty Silk Mill,1,10,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,Omkareshwar Mandir,4,20,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,St Xaviers High School,2,20,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,Transport Corporation,3,30,,,,,,,,,,,,,,,,,,,,,,
7051,Magathane Telecom Exchange,Western Park,13,195,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,Bandongri,5,25,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,Borivali Station East,393,1965,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,Dahisar Station Road East,24,240,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,Daulat Nagar,13,65,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,Dindoshi Bus Station,591,2955.06,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,General Arun Kumar Vaidya Marg Junction,4,20,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,Golden Chemicals,10,100,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,Kashi Mira,27,270,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,Ketaki Pada,7,70,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,Kurar Village,26,130,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,Magathane Depot,6,30,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,Magathane Telecom Exchange,7,35,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,Novelty Silk Mill,9,90,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,Omkareshwar Mandir,28,140,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,St Xaviers High School,9,135,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,Transport Corporation,9,90,,,,,,,,,,,,,,,,,,,,,,
7051,Mahindra Company Gate Or B H A D Colony,Western Park,29,435,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,Bandongri,8,80,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,Borivali Station East,116,580,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,Dahisar Station Road East,1,5,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,Daulat Nagar,8,40,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,Dindoshi Bus Station,10,150,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,General Arun Kumar Vaidya Marg Junction,1,15,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,Golden Chemicals,9,45.06,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,Kashi Mira,6,30,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,Ketaki Pada,1,5,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,Kurar Village,9,90,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,Magathane Depot,33,165.06,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,Magathane Telecom Exchange,3,30,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,Mahindra Company Gate Or B H A D Colony,10,100,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,Omkareshwar Mandir,4,20,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,St Xaviers High School,27,135,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,Transport Corporation,8,40,,,,,,,,,,,,,,,,,,,,,,
7051,Novelty Silk Mill,Western Park,193,965,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,Bandongri,90,450,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,Borivali Station East,4,20,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,Dahisar Station Road East,24,120.12,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,Daulat Nagar,2,10,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,Dindoshi Bus Station,135,1350,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,General Arun Kumar Vaidya Marg Junction,13,130,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,Golden Chemicals,3,30,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,Kashi Mira,5,50,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,Ketaki Pada,4,20,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,Kurar Village,237,1185,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,Magathane Depot,10,50,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,Magathane Telecom Exchange,17,85,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,Mahindra Company Gate Or B H A D Colony,64,320,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,Novelty Silk Mill,15,75,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,St Xaviers High School,2,20,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,Transport Corporation,3,30,,,,,,,,,,,,,,,,,,,,,,
7051,Omkareshwar Mandir,Western Park,35,350,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,Bandongri,12,180,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,Borivali Station East,211,2110,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,Dahisar Station Road East,264,1320,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,Daulat Nagar,18,180,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,Dindoshi Bus Station,30,450,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,General Arun Kumar Vaidya Marg Junction,15,225,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,Golden Chemicals,18,90,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,Kashi Mira,8,40,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,Ketaki Pada,49,245,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,Kurar Village,11,165,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,Magathane Depot,33,330,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,Magathane Telecom Exchange,13,130,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,Mahindra Company Gate Or B H A D Colony,16,240,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,Novelty Silk Mill,145,725,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,Omkareshwar Mandir,7,70,,,,,,,,,,,,,,,,,,,,,,
7051,St Xaviers High School,Transport Corporation,4,20,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,Bandongri,22,220,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,Borivali Station East,98,980,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,Dahisar Station Road East,102,510,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,Daulat Nagar,31,155,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,Dindoshi Bus Station,12,180,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,General Arun Kumar Vaidya Marg Junction,3,45,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,Golden Chemicals,2,10,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,Kashi Mira,1,5,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,Ketaki Pada,14,70,,,,,,,,,,,,,,,,,,,,,,
7051,Transport Corporation,Kurar Village,16,240,,,,,,,,,,,,,,,,,,,,,,
