route_name,from_stop_name,to_stop_name,total_passenger,total_amount,,,,,,,,,,,,,,,,,,,,,,
7015,Mahindra Company Gate Or B H A D Colony,Omkareshwar Mandir,9,45,,,,,,,,,,,,,,,,,,,,,,
7015,Mahindra Company Gate Or B H A D Colony,Srushti,13,130,,,,,,,,,,,,,,,,,,,,,,
7015,Mira Road Station East,Borivali Station East,31,310,,,,,,,,,,,,,,,,,,,,,,
7015,Mira Road Station East,Dahisar Station Road East,6,60,,,,,,,,,,,,,,,,,,,,,,
7015,Mira Road Station East,Daulat Nagar,8,80,,,,,,,,,,,,,,,,,,,,,,
7015,Mira Road Station East,Golden Chemicals,39,390,,,,,,,,,,,,,,,,,,,,,,
7015,Mira Road Station East,Jammu And Kashmir Bank,7,35,,,,,,,,,,,,,,,,,,,,,,
7015,Mira Road Station East,Kashimira,196,980,,,,,,,,,,,,,,,,,,,,,,
7015,Mira Road Station East,Ketaki Pada,23,230,,,,,,,,,,,,,,,,,,,,,,
7015,Mira Road Station East,Magathane Depot,9,135,,,,,,,,,,,,,,,,,,,,,,
7015,Mira Road Station East,Magathane Telecom Exchange,2,30,,,,,,,,,,,,,,,,,,,,,,
7015,Mira Road Station East,Mahindra Company Gate Or B H A D Colony,4,60,,,,,,,,,,,,,,,,,,,,,,
7015,Mira Road Station East,Novelty Silk Mill,14,140,,,,,,,,,,,,,,,,,,,,,,
7015,Mira Road Station East,Omkareshwar Mandir,8,120,,,,,,,,,,,,,,,,,,,,,,
7015,Mira Road Station East,Samata Nagar Bus Station Kandivali East,31,465,,,,,,,,,,,,,,,,,,,,,,
7015,Mira Road Station East,Transport Corporation,370,1850,,,,,,,,,,,,,,,,,,,,,,
7015,Novelty Silk Mill,Apna Bazar,29,145,,,,,,,,,,,,,,,,,,,,,,
7015,Novelty Silk Mill,Borivali Station East,74,370,,,,,,,,,,,,,,,,,,,,,,
7015,Novelty Silk Mill,Dahisar Station Road East,2,10,,,,,,,,,,,,,,,,,,,,,,
7015,Novelty Silk Mill,Daulat Nagar,31,155,,,,,,,,,,,,,,,,,,,,,,
7015,Novelty Silk Mill,Golden Chemicals,10,50,,,,,,,,,,,,,,,,,,,,,,
7015,Novelty Silk Mill,Kashimira,1,10,,,,,,,,,,,,,,,,,,,,,,
7015,Novelty Silk Mill,Magathane Depot,68,340,,,,,,,,,,,,,,,,,,,,,,
7015,Novelty Silk Mill,Magathane Telecom Exchange,1,10,,,,,,,,,,,,,,,,,,,,,,
7015,Novelty Silk Mill,Mahindra Company Gate Or B H A D Colony,7,70,,,,,,,,,,,,,,,,,,,,,,
7015,Novelty Silk Mill,Mira Road Station East,53,265,,,,,,,,,,,,,,,,,,,,,,
7015,Novelty Silk Mill,Omkareshwar Mandir,9,45,,,,,,,,,,,,,,,,,,,,,,
7015,Novelty Silk Mill,Samata Nagar Bus Station Kandivali East,24,240,,,,,,,,,,,,,,,,,,,,,,
7015,Novelty Silk Mill,Srushti,8,40,,,,,,,,,,,,,,,,,,,,,,
7015,Omkareshwar Mandir,Apna Bazar,4,40,,,,,,,,,,,,,,,,,,,,,,
7015,Omkareshwar Mandir,Borivali Station East,3,15,,,,,,,,,,,,,,,,,,,,,,
7015,Omkareshwar Mandir,Dahisar Station Road East,16,80,,,,,,,,,,,,,,,,,,,,,,
7015,Omkareshwar Mandir,Golden Chemicals,2,20,,,,,,,,,,,,,,,,,,,,,,
7015,Omkareshwar Mandir,Kashimira,1,15,,,,,,,,,,,,,,,,,,,,,,
7015,Omkareshwar Mandir,Ketaki Pada,7,35,,,,,,,,,,,,,,,,,,,,,,
7015,Omkareshwar Mandir,Magathane Depot,4,20,,,,,,,,,,,,,,,,,,,,,,
7015,Omkareshwar Mandir,Mahindra Company Gate Or B H A D Colony,1,5,,,,,,,,,,,,,,,,,,,,,,
7015,Omkareshwar Mandir,Mira Road Station East,11,110,,,,,,,,,,,,,,,,,,,,,,
7015,Omkareshwar Mandir,Novelty Silk Mill,16,80,,,,,,,,,,,,,,,,,,,,,,
7015,Omkareshwar Mandir,Samata Nagar Bus Station Kandivali East,52,275,,,,,,,,,,,,,,,,,,,,,,
7015,Omkareshwar Mandir,Srushti,8,80,,,,,,,,,,,,,,,,,,,,,,
7015,Samata Nagar Bus Station Kandivali East,Apna Bazar,22,330,,,,,,,,,,,,,,,,,,,,,,
7015,Samata Nagar Bus Station Kandivali East,Borivali Station East,256,1280,,,,,,,,,,,,,,,,,,,,,,
7015,Samata Nagar Bus Station Kandivali East,Dahisar Station Road East,31,310,,,,,,,,,,,,,,,,,,,,,,
7015,Samata Nagar Bus Station Kandivali East,Daulat Nagar,7,70,,,,,,,,,,,,,,,,,,,,,,
7015,Samata Nagar Bus Station Kandivali East,Golden Chemicals,11,110,,,,,,,,,,,,,,,,,,,,,,
7015,Samata Nagar Bus Station Kandivali East,Jammu And Kashmir Bank,5,75,,,,,,,,,,,,,,,,,,,,,,
7015,Samata Nagar Bus Station Kandivali East,Kashimira,2,40,,,,,,,,,,,,,,,,,,,,,,
7015,Samata Nagar Bus Station Kandivali East,Ketaki Pada,6,60,,,,,,,,,,,,,,,,,,,,,,
7015,Samata Nagar Bus Station Kandivali East,Magathane Depot,2,10,,,,,,,,,,,,,,,,,,,,,,
7015,Samata Nagar Bus Station Kandivali East,Mahindra Company Gate Or B H A D Colony,1,5,,,,,,,,,,,,,,,,,,,,,,
7015,Samata Nagar Bus Station Kandivali East,Mira Road Station East,64,960,,,,,,,,,,,,,,,,,,,,,,
7015,Samata Nagar Bus Station Kandivali East,Novelty Silk Mill,8,80,,,,,,,,,,,,,,,,,,,,,,
7015,Samata Nagar Bus Station Kandivali East,Omkareshwar Mandir,6,30,,,,,,,,,,,,,,,,,,,,,,
7015,Samata Nagar Bus Station Kandivali East,Samata Nagar Bus Station Kandivali East,3,60,,,,,,,,,,,,,,,,,,,,,,
7015,Samata Nagar Bus Station Kandivali East,Srushti,12,120,,,,,,,,,,,,,,,,,,,,,,
7015,Srushti,Borivali Station East,3,45,,,,,,,,,,,,,,,,,,,,,,
7015,Srushti,Dahisar Station Road East,2,20,,,,,,,,,,,,,,,,,,,,,,
7015,Srushti,Daulat Nagar,2,30,,,,,,,,,,,,,,,,,,,,,,
7015,Srushti,Jammu And Kashmir Bank,78,390,,,,,,,,,,,,,,,,,,,,,,
7015,Srushti,Kashimira,3,30,,,,,,,,,,,,,,,,,,,,,,
7015,Srushti,Magathane Depot,2,30,,,,,,,,,,,,,,,,,,,,,,
7015,Srushti,Magathane Telecom Exchange,1,15,,,,,,,,,,,,,,,,,,,,,,
7015,Srushti,Mira Road Station East,265,1325,,,,,,,,,,,,,,,,,,,,,,
7015,Srushti,Novelty Silk Mill,3,30,,,,,,,,,,,,,,,,,,,,,,
7015,Srushti,Samata Nagar Bus Station Kandivali East,3,60,,,,,,,,,,,,,,,,,,,,,,
7015,Transport Corporation,Borivali Station East,88,880,,,,,,,,,,,,,,,,,,,,,,
7015,Transport Corporation,Dahisar Station Road East,95,475,,,,,,,,,,,,,,,,,,,,,,
7015,Transport Corporation,Daulat Nagar,60,300,,,,,,,,,,,,,,,,,,,,,,
7015,Transport Corporation,Golden Chemicals,3,15,,,,,,,,,,,,,,,,,,,,,,
7015,Transport Corporation,Ketaki Pada,15,75.06,,,,,,,,,,,,,,,,,,,,,,
7015,Transport Corporation,Magathane Depot,6,60,,,,,,,,,,,,,,,,,,,,,,
7015,Transport Corporation,Magathane Telecom Exchange,2,20,,,,,,,,,,,,,,,,,,,,,,
7015,Transport Corporation,Mahindra Company Gate Or B H A D Colony,1,10,,,,,,,,,,,,,,,,,,,,,,
7015,Transport Corporation,Novelty Silk Mill,10,50,,,,,,,,,,,,,,,,,,,,,,
7015,Transport Corporation,Omkareshwar Mandir,3,30,,,,,,,,,,,,,,,,,,,,,,
7015,Transport Corporation,Samata Nagar Bus Station Kandivali East,22,220,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
date,day,direction,from_00_to_01,from_01_to_02,from_02_to_03,from_03_to_04,from_04_to_05,from_05_to_06,from_06_to_07,from_07_to_08,from_08_to_09,from_09_to_10,from_10_to_11,from_11_to_12,from_12_to_13,from_13_to_14,from_14_to_15,from_15_to_16,from_16_to_17,from_17_to_18,from_18_to_19,from_19_to_20,from_20_to_21,from_21_to_22,from_22_to_23,from_23_to_24
9/18/2023,MONDAY   ,UP,0,0,0,0,0,26,290,432,574,531,699,329,433,414,359,320,321,334,431,435,383,364,92,22
