"BEST Undertaking
Route details: -  7006",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
DOWN,54,ABHYUDAYA BANK,,,29005,,19.226002,72.857437
DOWN,55,DATTAPADA PHATAK,,,29119,,19.224277,72.856725
DOWN,56,RAJENDRA NAGAR,,,29324,,19.221271,72.861073
DOWN,57,SPECIAL STEEL RAJENDRA NAGAR,,,29421,,19.221453,72.86403
DOWN,58,MAGATHANE DEPOT,,,29229,,19.221518,72.867815
,,,,,,,,
"BEST Undertaking
Route details: -  7015",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
,,,7015,U7015,,,,
UP,0,SAMATA NAGAR BUS STATION (KANDIVALI-E),,,29468,,19.206911,72.869573
UP,1,BUILDING NO.1 & 2,,,29363,,19.205826,72.868033
UP,2,"MAHINDRA COMPANY GATE ; B.H.A.
D. COLONY",,,29043,,19.2069,72.866188
UP,3,DATTANI PARK,,,29117,,19.211581,72.868239
UP,4,MAGATHANE TELEPHONE EXCHANGE,,,29255,,19.216034,72.867048
UP,5,MAGATHANE DEPOT,,,29230,,19.220397,72.865448
UP,6,DEVIPADA,,,29125,,19.225915,72.863638
UP,7,OMKARESHWAR MANDIR,,,29297,,19.230486,72.86315
UP,8,BORIVALI STATION (E),,,29080,,19.231866,72.857699
UP,9,BORIVALI PHATAK (E),,,29074,,19.233844,72.858069
UP,10,DAULAT NAGAR,,,29123,,19.236447,72.85918
UP,11,AMBAWADI,,,29008,,19.241117,72.859634
UP,12,PARVAT NAGAR,,,29306,,19.243521,72.860013
UP,13,MANAV KALYAN KENDRA,,,29241,,19.245716,72.860849
UP,14,DAHISAR STATION ROAD (E),,,29114,,19.248635,72.862483
UP,15,RAJASHREE CINEMA,,,29323,,19.251102,72.863547
UP,16,DAHISAR POLICE STATION,,,29550,,19.253316,72.865163
UP,17,NOVELTY SILK MILL,,,29293,,19.254763,72.867036
UP,18,KETAKI PADA,,,29215,,19.255893,72.869232
UP,19,DAHISAR CHECK NAKA,,,29111,,19.25864,72.871752
UP,20,GOLDEN CHEMICALS,,,29169,,19.262011,72.873272
UP,21,PENKARPADA,,,29308,,19.263717,72.871749
UP,22,ATMARAM NAGAR (SRUSHTI),,,29032,,19.264548,72.87094
UP,23,GANESH MANDIR,,,29141,,19.26565,72.870721
UP,24,SRUSHTI,,,29412,,19.270166,72.868625
UP,25,SURYA SHOPPING CENTRE,,,29438,,19.274358,72.869451
UP,26,APNA BAZAR,,,29021,,19.275396,72.867557
UP,27,MIRA ROAD SECTOR NO.8,,,29382,,19.277346,72.865082
UP,28,SECTOR NO.7,,,29380,,19.278141,72.863855
UP,29,JAIN MANDIR,,,29192,,19.280037,72.862293
UP,30,NEW INDIA BANK,,,29284,,19.281761,72.860409
UP,31,MIRA ROAD STATION (E),,,29261,,19.281616,72.857935
,,,7015,D7015,,,,
DOWN,0,MIRA ROAD STATION,,,29263,,19.281462,72.858059
DOWN,1,MIRA ROAD STATION (E),,,29261,,19.281616,72.857935
DOWN,2,SHITAL GARDEN,,,29395,,19.283471,72.863747
DOWN,3,SHEETAL NAGAR MTNL,,,29398,,19.283689,72.865906
DOWN,4,SHEETAL SAROVAR,,,29400,,19.282109,72.868152
DOWN,5,JAMMU & KASHMIR BANK,,,29196,,19.280376,72.870789
DOWN,6,SILVER PARK,,,29417,,19.282193,72.874203
DOWN,7,HITCO,,,29179,,19.279954,72.877277
DOWN,8,GREEN LAWN ACADEMY,,,29171,,19.278771,72.878885
DOWN,9,PUNJAB FOUNDRY,,,29303,,19.276053,72.882026
DOWN,10,KASHIMIRA,,,29209,,19.273271,72.88257
DOWN,11,KASHIMIRA,,,29207,,19.271528,72.882276
DOWN,12,TRANSPORT CORPORATION,,,29440,,19.269322,72.879109
DOWN,13,MIRA GAONTHAN,,,29473,,19.267063,72.877207
DOWN,14,MAHAVISHNU MANDIR,,,29236,,19.265246,72.875705
DOWN,15,GOLDEN CHEMICALS,,,29167,,19.262092,72.873614
DOWN,16,DAHISAR CHECK NAKA,,,29110,,19.257773,72.871885
DOWN,17,KETAKI PADA,,,29214,,19.255848,72.869356
DOWN,18,NOVELTY SILK MILL,,,29292,,19.253497,72.865476
DOWN,19,RAJASHREE CINEMA,,,29322,,19.250967,72.863671
DOWN,20,DAHISAR STATION ROAD (E),,,29113,,19.249412,72.863034
DOWN,21,MANAV KALYAN KENDRA,,,29240,,19.245716,72.861067
DOWN,22,PARVAT NAGAR,,,29305,,19.243168,72.860137
DOWN,23,AMBAWADI,,,29007,,19.240512,72.859653
DOWN,24,DAULAT NAGAR,,,29122,,19.236402,72.859266
DOWN,25,BORIVALI PHATAK (E),,,29073,,19.233781,72.858117
DOWN,26,BORIVALI STATION (E),,,29076,,19.231549,72.85769
DOWN,27,BORIVALI STATION (E),,,29078,,19.231279,72.858546
DOWN,28,OMKARESHWAR MANDIR,,,29296,,19.231299,72.862398
DOWN,29,OMKARESHWAR MANDIR,,,29520,,19.229881,72.863502
DOWN,30,DEVIPADA,,,29124,,19.224606,72.864466
DOWN,31,MAGATHANE DEPOT,,,29228,,19.220587,72.865933
DOWN,32,MAGATHANE TELEPHONE EXCHANGE,,,29254,,19.216079,72.867485
DOWN,33,DATTANI PARK,,,29115,,19.211653,72.868686
DOWN,34,SAMATA NAGAR BUILDING NO.3&5,,,29364,,19.205943,72.86751
DOWN,35,SAMATA NAGAR BUS STATION (KANDIVALI-E),,,29362,,19.206496,72.869944
,,,,,,,,
"BEST Undertaking
Route details: -  7027",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
,,,7027,U7027,,,,
UP,0,MAGATHANE DEPOT,,,29231,,19.221336,72.866122
UP,1,DEVIPADA,,,29125,,19.225915,72.863638
UP,2,OMKARESHWAR MANDIR,,,29296,,19.231299,72.862398
UP,3,BORIVALI STATION (E),,,29096,,19.231531,72.857633
UP,4,BORIVALI PHATAK (E),,,29074,,19.233844,72.858069
UP,5,DAULAT NAGAR,,,29123,,19.236447,72.85918
UP,6,AMBAWADI,,,29008,,19.241117,72.859634
UP,7,PARVAT NAGAR,,,29306,,19.243521,72.860013
UP,8,MANAV KALYAN KENDRA,,,29241,,19.245716,72.860849
UP,9,DAHISAR STATION ROAD (E),,,29114,,19.248635,72.862483
UP,10,RAJASHREE CINEMA,,,29323,,19.251102,72.863547
UP,11,DAHISAR POLICE STATION,,,29550,,19.253316,72.865163
UP,12,NOVELTY SILK MILL,,,29293,,19.254763,72.867036
UP,13,KETAKI PADA,,,29215,,19.255893,72.869232
UP,14,DAHISAR CHECK NAKA,,,29111,,19.258622,72.871733
UP,15,GOLDEN CHEMICALS,,,29168,,19.263041,72.873794
UP,16,MAHAVISHNU ; SAMRAT HOTEL,,,29237,,19.265219,72.875325
UP,17,MIRA GAONTHAN,,,29472,,19.267478,72.877046
UP,18,TRANSPORT CORPORATION,,,29441,,19.269584,72.878662
UP,19,KASHIMIRA,,,29208,,19.27301,72.883464
UP,20,KASHI VILLAGE,,,29206,,19.274492,72.885613
UP,21,WESTERN HOTEL LAXMI BAUG,,,29465,,19.27639,72.888952
UP,22,PUNJAB DAIRY,,,29319,,19.278749,72.889835
UP,23,HARI BHAKTI DOVEL COMPANY,,,29178,,19.281766,72.889834
UP,24,R.T.O.CAMP,,,29567,,19.284386,72.889852
UP,25,RAJ BUCKET FACTORY,,,29321,,19.288081,72.889736
UP,26,GHODBUNDER VILLAGE,,,29153,,19.29173,72.889335
,,,7027,D7027,,,,
DOWN,0,GHODBUNDER VILLAGE,,,29152,,19.291613,72.889402
DOWN,1,RAJ BUCKET FACTORY,,,29320,,19.287981,72.88987
DOWN,2,R.T.O.CAMP,,,29568,,19.284314,72.890004
DOWN,3,HARI BHAKTI DOVEL COMPANY,,,29177,,19.281902,72.889901
DOWN,4,PUNJAB DAIRY,,,29318,,19.27902,72.889902
DOWN,5,WESTERN HOTEL LAXMI BAUG,,,29464,,19.276129,72.889009
DOWN,6,KASHI VILLAGE,,,29205,,19.273923,72.885737
DOWN,7,KASHIMIRA,,,29207,,19.271528,72.882276
DOWN,8,TRANSPORT CORPORATION,,,29440,,19.269322,72.879109
DOWN,9,MIRA GAONTHAN,,,29473,,19.267063,72.877207
DOWN,10,MAHAVISHNU MANDIR,,,29236,,19.265246,72.875705
DOWN,11,GOLDEN CHEMICALS,,,29167,,19.262092,72.873614
DOWN,12,DAHISAR CHECK NAKA,,,29110,,19.257773,72.871885
DOWN,13,KETAKI PADA,,,29214,,19.255848,72.869356
DOWN,14,NOVELTY SILK MILL,,,29292,,19.253497,72.865476
DOWN,15,RAJASHREE CINEMA,,,29302,,19.25093,72.863737
DOWN,16,DAHISAR STATION ROAD (E),,,29113,,19.249412,72.863034
DOWN,17,MANAV KALYAN KENDRA,,,29240,,19.245716,72.861067
DOWN,18,PARVAT NAGAR,,,29305,,19.243168,72.860137
DOWN,19,AMBAWADI,,,29007,,19.240512,72.859653
DOWN,20,DAULAT NAGAR,,,29122,,19.236402,72.859266
DOWN,21,BORIVALI PHATAK (E),,,29073,,19.233781,72.858117
DOWN,22,BORIVALI STATION (E),,,29076,,19.231549,72.85769
DOWN,23,BORIVALI STATION (E),,,29078,,19.231279,72.858546
DOWN,24,OMKARESHWAR MANDIR,,,29520,,19.229881,72.863502
DOWN,25,DEVIPADA,,,29124,,19.224606,72.864466
DOWN,26,MAGATHANE DEPOT,,,29229,,19.221518,72.867815
,,,,,,,,
"BEST Undertaking
Route details: -  7035",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
,,,7035,U7035,,,,
UP,0,SAMATA NAGAR BUS STATION (KANDIVALI-E),,,29468,,19.206911,72.869573
UP,1,SAIBABA MANDIR (SAMATA NAGAR),,,29354,,19.205801,72.871628
UP,2,THAKUR COLLEGE,,,29445,,19.206298,72.87255
UP,3,AANGAN,,,29019,,19.207933,72.872682
UP,4,THAKUR CINEMA,,,29443,,19.209984,72.872881
UP,5,VICEROY PARK,,,29460,,19.210281,72.871159
UP,6,DATTANI PARK,,,29118,,19.211636,72.8692
UP,7,SHREE KOTESHWARI MANDIR,,,29222,,19.213984,72.868732
UP,8,MAGATHANE TELEPHONE EXCHANGE,,,29255,,19.216034,72.867048
UP,9,MAGATHANE DEPOT,,,29230,,19.220397,72.865448
UP,10,DEVIPADA,,,29125,,19.225915,72.863638
UP,11,OMKARESHWAR MANDIR,,,29296,,19.230486,72.86315
UP,12,BORIVALI STATION (E),,,29080,,19.231866,72.857699
UP,13,BORIVALI PHATAK (E),,,29074,,19.233844,72.858069
UP,14,DAULAT NAGAR,,,29123,,19.236447,72.85918
UP,15,AMBAWADI,,,29008,,19.241117,72.859634
UP,16,PARVAT NAGAR,,,29306,,19.243521,72.860013
UP,17,MANAV KALYAN KENDRA,,,29241,,19.245716,72.860849
UP,18,DAHISAR STATION ROAD (E),,,29114,,19.248635,72.862483
UP,19,RAJASHREE CINEMA,,,29323,,19.251102,72.863547
UP,20,DAHISAR POLICE STATION,,,29550,,19.253316,72.865163
UP,21,NOVELTY SILK MILL,,,29293,,19.254763,72.867036
UP,22,KETAKI PADA,,,29215,,19.255893,72.869232
UP,23,DAHISAR CHECK NAKA,,,29111,,19.258622,72.871733
UP,24,GOLDEN CHEMICALS,,,29168,,19.263041,72.873794
UP,25,MAHAVISHNU ; SAMRAT HOTEL,,,29237,,19.265219,72.875325
UP,26,MIRA GAONTHAN,,,29472,,19.267478,72.877046
UP,27,TRANSPORT CORPORATION,,,29441,,19.269584,72.878662
UP,28,KASHIMIRA,,,29210,,19.272756,72.88238
UP,29,PUNJAB FOUNDRY,,,29304,,19.275963,72.881674
UP,30,GREEN LAWN ACADEMY,,,29172,,19.2786,72.878695
UP,31,HITCO,,,29180,,19.280216,72.876554
UP,32,SILVER PARK,,,29420,,19.281777,72.873357
UP,33,JAMMU & KASHMIR BANK,,,29195,,19.28024,72.870846
UP,34,SHEETAL SAROVAR,,,29399,,19.282009,72.868
UP,35,SHITAL GARDEN,,,29396,,19.283543,72.864413
UP,36,MIRA ROAD STATION,,,29263,,19.281462,72.858059
,,,7035,D7035,,,,
