"BEST Undertaking
Route details: -  7006",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
UP,11,DAHISAR POLICE STATION,,,29550,,19.253316,72.865163
UP,12,NOVELTY SILK MILL,,,29293,,19.254763,72.867036
UP,13,KETAKI PADA,,,29215,,19.255893,72.869232
UP,14,DAHISAR CHECK NAKA,,,29111,,19.258622,72.871733
UP,15,GOLDEN CHEMICALS,,,29169,,19.262011,72.873272
UP,16,PENKARPADA,,,29308,,19.263717,72.871749
UP,17,ATMARAM NAGAR (SRUSHTI),,,29032,,19.264548,72.87094
UP,18,GANESH MANDIR,,,29141,,19.26565,72.870721
UP,19,SRUSHTI,,,29412,,19.270166,72.868625
UP,20,SRUSHTI POLICE STATION,,,29313,,19.270952,72.867721
UP,21,ASMITA SUPER MARKET,,,29030,,19.273028,72.864485
UP,22,POONAM SAGAR COMPLEX,,,29315,,19.273632,72.862773
UP,23,GAURAV RESIDENCY,,,29147,,19.2743,72.861393
UP,24,MIRA ROAD SECTOR NO.10,,,29036,,19.276042,72.859451
UP,25,MIRA ROAD MARKET,,,29266,,19.278237,72.858232
UP,26,MIRA ROAD STATION (E),,,29261,,19.281616,72.857935
UP,27,JAMA MASJID,,,29279,,19.284515,72.857496
UP,28,GANGA COMPLEX,,,29145,,19.29017,72.857292
UP,29,LODHA COMPLEX,,,29226,,19.292519,72.856568
UP,30,SWATANTRAVEER SAVARAR CHOWK-BHAYANDAR-E,,,29059,,19.29466,72.857223
UP,31,MAXUS MALL (BHAYANDAR-W),,,29249,,19.294755,72.850258
UP,32,BISHOP SCHOOL,,,29070,,19.295163,72.851657
UP,33,BHAYANDAR PHATAK JANAKI RESIDENCY,,,29054,,19.297973,72.852397
UP,34,MANDLI TALAO,,,29242,,19.299344,72.850018
UP,35,BHAYANDAR POLICE STATION,,,29311,,19.300924,72.846896
UP,36,MIRA-BHAYANDAR MUNICIPAL HEAD OFFICE,,,29251,,19.30171,72.848208
UP,37,JAIN MANDIR,,,29109,,19.303093,72.849815
UP,38,JAIN MANDIR,,,29191,,19.305542,72.849947
UP,39,SHIVSENA OFFICE,,,29065,,19.307168,72.849755
UP,40,BALAJI NAGAR,,,29050,,19.31014,72.850277
UP,41,BHAYANDAR RAILWAY STATION (W),,,29061,,19.312138,72.851874
,,,7101,D7101,,,,
DOWN,0,BHAYANDAR RAILWAY STATION (W),,,29060,,19.311839,72.851741
DOWN,1,BALAJI NAGAR,,,29048,,19.310203,72.850486
DOWN,2,BHAJI MARKET,,,29999,,19.307285,72.849908
DOWN,3,CROSS GARDEN,,,29108,,19.302904,72.849872
DOWN,4,MIRA-BHAYANDAR MUNICIPAL HEAD OFFICE,,,29250,,19.301683,72.848408
DOWN,5,BHAYANDAR POLICE STATION,,,29312,,19.300409,72.846953
DOWN,6,MANDLI TALAO,,,29243,,19.299696,72.849294
DOWN,7,BHAYANDAR PHATAK JANAKI RESIDENCY,,,29057,,19.298298,72.852387
DOWN,8,BISHOP SCHOOL,,,29069,,19.295073,72.852389
DOWN,9,MAXUS MALL,,,29248,,19.295008,72.850411
DOWN,10,BHAYANDAR PHATAK JANAKI RESIDENCY,,,29057,,19.295163,72.852247
DOWN,11,SWATANTRAVEER SAVARAR CHOWK-BHAYANDAR-E,,,29058,,19.294525,72.857166
DOWN,12,LODHA COMPLEX,,,29225,,19.292519,72.856682
DOWN,13,GANGA COMPLEX,,,29144,,19.290496,72.857321
DOWN,14,JAMA MASJID,,,29278,,19.28466,72.857524
DOWN,15,MIRA ROAD STATION,,,29263,,19.281462,72.858059
DOWN,16,MIRA ROAD MARKET,,,29265,,19.278454,72.85828
DOWN,17,MIRA ROAD SECTOR NO.10,,,29035,,19.275853,72.85986
DOWN,18,GAURAV RESIDENCY,,,29146,,19.27458,72.86125
DOWN,19,POONAM SAGAR COMPLEX,,,29314,,19.273822,72.862744
DOWN,20,ASMITA SUPER MARKET,,,29029,,19.273154,72.864542
DOWN,21,MADHUSHREE MIRA ROAD,,,29411,,19.271051,72.867788
DOWN,22,ROYAL COLLEGE,,,29341,,19.269725,72.870709
DOWN,23,GANESH MANDIR,,,29139,,19.265677,72.870692
DOWN,24,ATMARAM NAGAR (SRUSHTI),,,29031,,19.263717,72.871749
DOWN,25,PENKARPADA,,,29307,,19.263492,72.872253
DOWN,26,GOLDEN CHEMICALS,,,29546,,19.262101,72.8735
DOWN,27,KETAKI PADA,,,29214,,19.255848,72.869356
DOWN,28,NOVELTY SILK MILL,,,29292,,19.253497,72.865476
DOWN,29,RAJASHREE CINEMA,,,29322,,19.250967,72.863671
DOWN,30,DAHISAR STATION ROAD (E),,,29113,,19.249412,72.863034
DOWN,31,MANAV KALYAN KENDRA,,,29240,,19.245716,72.861067
DOWN,32,PARVAT NAGAR,,,29305,,19.243168,72.860137
DOWN,33,AMBAWADI,,,29007,,19.240512,72.859653
DOWN,34,DAULAT NAGAR,,,29122,,19.236402,72.859266
DOWN,35,BORIVALI PHATAK (E),,,29073,,19.233781,72.858117
DOWN,36,BORIVALI STATION (E),,,29076,,19.231549,72.85769
DOWN,37,BORIVALI STATION (E),,,29078,,19.231279,72.858546
DOWN,38,OMKARESHWAR MANDIR,,,29520,,19.229881,72.863502
DOWN,39,DEVIPADA,,,29124,,19.224606,72.864466
DOWN,40,MAGATHANE DEPOT,,,29229,,19.221518,72.867815
,,,,,,,,
"BEST Undertaking
Route details: -  7186",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
,,,7186,U7186,,,,
UP,0,DINDOSHI BUS STATION,,,25060,,19.176148,72.865701
UP,1,GENERAL ARUN KUMAR VAIDYA MARG JUNCTION,,,25006,,19.174547,72.861195
UP,2,PATHANWADI,,,25227,,19.178285,72.858274
UP,3,KURAR VILLAGE,,,25156,,19.185955,72.858175
UP,4,PUSHPA PARK,,,25248,,19.18965,72.858239
UP,5,BANDONGRI,,,25037,,19.199869,72.860876
UP,6,"MAHINDRA COMPANY GATE ; B.H.A.
D. COLONY",,,29043,,19.206819,72.866283
UP,7,DATTANI PARK,,,29117,,19.211545,72.86841
UP,8,MAGATHANE TELEPHONE EXCHANGE,,,29255,,19.216124,72.867105
UP,9,MAGATHANE DEPOT,,,29230,,19.220523,72.865505
UP,10,DEVIPADA,,,29125,,19.225952,72.863666
UP,11,OMKARESHWAR MANDIR,,,29297,,19.230486,72.863131
UP,12,SHREE KRISHNA NAGAR (BORIVALI),,,29406,,19.233142,72.863186
UP,13,NENSEY COLONY,,,29275,,19.237822,72.86345
UP,14,JAI MAHAKALI MANDIR,,,29233,,19.241382,72.864019
UP,15,GOKUL ANAND HOTEL,,,29165,,19.243839,72.864312
UP,16,GANESH NAGAR GOKULANAND HOTEL,,,29143,,19.247074,72.864843
UP,17,GARTAN PADA,,,29149,,19.252613,72.868159
UP,18,DAHISAR CHECK NAKA,,,29111,,19.258568,72.871875
UP,19,GOLDEN CHEMICALS,,,29169,,19.262065,72.873253
UP,20,MAHAVISHNU ; SAMRAT HOTEL,,,29237,,19.265255,72.875353
UP,21,MIRA GAONTHAN,,,29472,,19.267496,72.877065
UP,22,TRANSPORT CORPORATION,,,29441,,19.269602,72.878652
UP,23,KASHIMIRA,,,29210,,19.272792,72.882475
UP,24,PUNJAB FOUNDRY,,,29304,,19.275945,72.881769
UP,25,GREEN LAWN ACADEMY,,,29172,,19.278654,72.878743
UP,26,HITCO,,,29180,,19.28027,72.876554
UP,27,SILVER PARK,,,29418,,19.282057,72.87407
UP,28,SUNDAR NAGAR,,,29434,,19.283962,72.871434
UP,29,S.K.STONE,,,29344,,19.285226,72.86973
UP,30,BEVERLY PARK,,,29052,,19.286806,72.86755
UP,31,SHIVAR GARDEN,,,29402,,19.288323,72.865533
UP,32,CHAITANYA HOSPITAL,,,29548,,19.290174,72.863676
UP,33,SHREENATH COMPLEX,,,29410,,19.291618,72.862239
UP,34,SWATANTRAVEER SAVARAR CHOWK-BHAYANDAR-E,,,29346,,19.293912,72.859964
UP,35,AZAD NAGAR,,,29038,,19.296557,72.857279
UP,36,BHAYANDAR PHATAK (POLICE CHOWKY),,,29056,,19.298841,72.854937
UP,37,KASTURI ESTATE,,,29213,,19.301119,72.857248
UP,38,ABHINAV SCHOOL,,,29004,,19.302502,72.857941
UP,39,GODDEV NAKA,,,29157,,19.303966,72.858806
UP,40,SHIRDI NAGAR ; RAM NAGAR,,,29394,,19.305928,72.861745
UP,41,NAVGHAR NAKA,,,29277,,19.307862,72.863152
UP,42,VENUS APARTMENTS,,,29453,,19.308782,72.861001
UP,43,SALSAR NAGAR,,,29359,,19.309296,72.859222
UP,44,BHAIDAYA NAGAR,,,29053,,19.310352,72.857661
UP,45,BHAYANDAR STATION (E),,,29063,,19.312301,72.853482
,,,7186,D7186,,,,
DOWN,0,BHAYANDAR STATION (E),,,29063,,19.312301,72.853482
DOWN,1,BHAYANDAR STATION (E),,,29062,,19.309735,72.853398
DOWN,2,BHAYANDAR MARKET,,,29064,,19.307767,72.855312
DOWN,3,KHARI GAON,,,29216,,19.305474,72.857844
DOWN,4,GODDEV NAKA,,,29156,,19.303848,72.858645
DOWN,5,ABHINAV SCHOOL,,,29003,,19.302918,72.858141
DOWN,6,KASTURI ESTATE,,,29212,,19.301146,72.857267
DOWN,7,BHAYANDAR PHATAK (POLICE CHOWKY),,,29055,,19.298851,72.855089
DOWN,8,AZAD NAGAR,,,29037,,19.296765,72.857212
DOWN,9,SWATANTRAVEER SAVARAR CHOWK-BHAYANDAR-E,,,29345,,19.29421,72.859811
DOWN,10,SHREENATH COMPLEX,,,29409,,19.292169,72.86182
DOWN,11,CHAITANYA HOSPITAL,,,29549,,19.290246,72.86381
DOWN,12,SHIVAR GARDEN,,,29401,,19.288458,72.865647
DOWN,13,BEVERLY PARK,,,29051,,19.286978,72.867569
DOWN,14,S.K.STONE,,,29343,,19.285416,72.869692
DOWN,15,SUNDAR NAGAR,,,29433,,19.284414,72.871091
DOWN,16,SILVER PARK,,,29417,,19.282121,72.874203
DOWN,17,HITCO,,,29179,,19.279864,72.877296
DOWN,18,GREEN LAWN ACADEMY,,,29171,,19.278726,72.878876
DOWN,19,PUNJAB FOUNDRY,,,29303,,19.276053,72.881922
DOWN,20,KASHIMIRA,,,29209,,19.273208,72.882484
DOWN,21,KASHIMIRA,,,29207,,19.271482,72.882209
DOWN,22,TRANSPORT CORPORATION,,,29440,,19.269331,72.87908
DOWN,23,MIRA GAONTHAN,,,29473,,19.267035,72.87716
DOWN,24,MAHAVISHNU MANDIR,,,29236,,19.265174,72.875734
DOWN,25,GOLDEN CHEMICALS,,,29167,,19.262092,72.873633
DOWN,26,DAHISAR CHECK NAKA,,,29110,,19.257827,72.871714
DOWN,27,GARTAN PADA,,,29148,,19.252324,72.868274
DOWN,28,GANESH NAGAR,,,29142,,19.246505,72.865071
DOWN,29,GOKULANAND HOTEL,,,29163,,19.244824,72.864806
DOWN,30,JAI MAHAKALI MANDIR,,,29232,,19.241391,72.864332
DOWN,31,NENSEY COLONY,,,29273,,19.237714,72.863754
DOWN,32,SHREE KRISHNA NAGAR (BORIVALI),,,29405,,19.233161,72.863472
DOWN,33,OMKARESHWAR MANDIR,,,29296,,19.229926,72.863502
DOWN,34,DEVIPADA,,,29124,,19.224579,72.864475
DOWN,35,MAGATHANE DEPOT,,,29228,,19.220586,72.865771
DOWN,36,MAGATHANE TELEPHONE EXCHANGE,,,29254,,19.216106,72.867438
DOWN,37,DATTANI PARK,,,29115,,19.211653,72.868619
DOWN,38,"MAHINDRA COMPANY GATE ; B.H.A.
D. COLONY",,,29040,,19.205536,72.86557
DOWN,39,BANDONGRI,,,25033,,19.19911,72.861057
DOWN,40,PUSHPA PARK,,,25244,,19.187952,72.858582
DOWN,41,KURAR VILLAGE,,,25154,,19.184898,72.858641
DOWN,42,PATHANWADI,,,25225,,19.180914,72.858577
DOWN,43,GENERAL ARUN KUMAR VAIDYA MARG JUNCTION,,,25003,,19.174592,72.860577
DOWN,44,DINDOSHI BUS STATION,,,25062,,19.175461,72.864922
,,,,,,,,
"BEST Undertaking
Route details: -  7201",,,,,,,,
Direction,Stop Sequence,Stop Name,,,Stop Number,,Latitude,Longitude
,,,7201,U7201,,,,
UP,0,MALVANI DEPOT / GAIKWAD NAGAR,,,28117,,19.183481,72.819117
UP,1,MALVANI BLOCK NO 7,,,28106,,19.186336,72.818839
UP,2,MALVANI BLOCK NO 6,,,28105,,19.189607,72.819863
UP,3,MALVANI BLOCK NO 5  POLICE STATION,,,28100,,19.192535,72.82201
UP,4,FIRE BRIGADE KHARODI COLONY,,,28041,,19.195318,72.822064
UP,5,TOWNSHIP MUNICIPAL SCHOOL,,,28174,,19.196287,72.824812
UP,6,ASMITA JYOTI,,,28085,,19.196713,72.82754
UP,7,EKTA NAGAR,,,28086,,19.200978,72.828003
UP,8,KANDIVALI INDUSTRIAL ESTATE GANESH NAGAR,,,8103,,19.204483,72.828257
UP,9,HINDUSTAN NAKA  C. CHARANSINGH CHOWK,,,8076,,19.208088,72.829414
UP,10,SAHYADRI NAGAR,,,8216,,19.21031,72.828737
UP,11,BANK OF MAHARASHTRA,,,8133,,19.21293,72.828393
UP,12,PRABODHANKAR THACKERAY NAGAR MARKET,,,8024,,19.216146,72.828533
UP,13,SAIBABA MANDIR,,,8224,,19.217718,72.828627
UP,14,PRABODHANKAR THACKERAY NAGAR BUS STATION,,,8170,,19.21985,72.828711
UP,15,GORAI BRIDGE,,,34081,,19.226083,72.828002
UP,16,SUVIDHYA SCHOOL,,,34180,,19.229462,72.828541
UP,17,GORAI DEPOT,,,34089,,19.232219,72.830299
UP,18,M.H.B.COLONY,,,34108,,19.230706,72.838032
UP,19,DON BOSCO SCHOOL,,,34066,,19.229751,72.842341
UP,20,VAZIRA NAKA,,,34191,,19.229066,72.844519
UP,21,BABHAI NAKA,,,34007,,19.22859,72.848438
UP,22,MAHARASHTRA NAGAR,,,34117,,19.228691,72.851367
UP,23,BORIVALI STATION (W),,,34041,,19.228684,72.855134
UP,24,BORIVALI TELEPHONE EXCHANGE,,,34045,,19.231811,72.856216
UP,25,PAI NAGAR,,,34135,,19.234466,72.855054
UP,26,RAM MANDIR,,,34146,,19.238233,72.854738
UP,27,BHAGWATI HOSPITAL,,,34013,,19.240627,72.854498
UP,28,TECHNICAL SCHOOL,,,34185,,19.24293,72.853907
UP,29,MARY IMMACULATE SCHOOL,,,34122,,19.247944,72.853504
UP,30,NAVA GAON,,,34131,,19.251485,72.85373
UP,31,KANDAR PADA (DAHISAR BRIDGE),,,34101,,19.254702,72.854518
UP,32,DAHISAR BRIDGE,,,34052,,19.255046,72.857057
UP,33,DAHISAR MARKET,,,34056,,19.255923,72.858037
UP,34,SAVE NAGAR  GAONDEVI MANDIR,,,29378,,19.255184,72.860986
UP,35,VIDYA MANDIR,,,29457,,19.254914,72.862612
UP,36,NOVELTY SILK MILL,,,29293,,19.254781,72.867093
UP,37,KETAKI PADA,,,29215,,19.255911,72.869289
UP,38,DAHISAR CHECK NAKA,,,29111,,19.258559,72.871866
UP,39,GOLDEN CHEMICALS,,,29169,,19.262056,72.873253
UP,40,MAHAVISHNU  SAMRAT HOTEL,,,29237,,19.265282,72.875363
UP,41,SHRIKRISHNA GARDEN SOCIETY,,,29408,,19.269673,72.876017
UP,42,KASHIMIRA TELEPHONE EXCHANGE,,,29260,,19.272347,72.876234
UP,43,PLEASANT PARK (MIRA ROAD),,,29310,,19.275428,72.877118
UP,44,GREEN LAWN ACADEMY,,,29172,,19.278672,72.878695
UP,45,HITCO,,,29180,,19.280234,72.876554
UP,46,SILVER PARK,,,29418,,19.282066,72.874032
UP,47,SUNDAR NAGAR,,,29434,,19.283926,72.871481
UP,48,S.K.STONE,,,29344,,19.285226,72.86973
UP,49,BEVERLY PARK,,,29052,,19.286824,72.867522
UP,50,SHIVAR GARDEN,,,29402,,19.288323,72.865533
UP,51,CHAITANYA HOSPITAL,,,29548,,19.290156,72.863667
UP,52,SHREENATH COMPLEX,,,29410,,19.291627,72.862229
UP,53,SWATANTRAVEER SAVARAR CHOWK-BHAYANDAR-E,,,29346,,19.293939,72.859926
UP,54,AZAD NAGAR,,,29038,,19.296575,72.857269
UP,55,BHAYANDAR PHATAK (POLICE CHOWKY),,,29056,,19.298851,72.854956
UP,56,KASTURI ESTATE,,,29213,,19.301137,72.857267
UP,57,ABHINAV SCHOOL,,,29004,,19.302683,72.857998
UP,58,GODDEV NAKA,,,29157,,19.304056,72.858882
UP,59,SHIRDI NAGAR  RAM NAGAR,,,29394,,19.306,72.861764
UP,60,NAVGHAR NAKA,,,29277,,19.30788,72.863105
UP,61,VENUS APARTMENTS,,,29453,,19.308809,72.860982
UP,62,SALSAR NAGAR,,,29359,,19.309287,72.859193
UP,63,BHAIDAYA NAGAR,,,29053,,19.310307,72.85786
UP,64,BHAYANDAR STATION (E),,,29063,,19.312319,72.853473
,,,7201,D7201,,,,
DOWN,0,BHAYANDAR STATION (E),,,29062,,19.309762,72.853389
DOWN,1,BHAYANDAR MARKET,,,29064,,19.307776,72.855369
DOWN,2,KHARI GAON,,,29216,,19.30542,72.857854
DOWN,3,GODDEV NAKA,,,29156,,19.30383,72.858568
DOWN,4,ABHINAV SCHOOL,,,29003,,19.302818,72.858084
DOWN,5,KASTURI ESTATE,,,29212,,19.301146,72.857267
DOWN,6,BHAYANDAR PHATAK (POLICE CHOWKY),,,29055,,19.298769,72.855137
DOWN,7,AZAD NAGAR,,,29037,,19.296729,72.857212
DOWN,8,SWATANTRAVEER SAVARAR CHOWK-BHAYANDAR-E,,,29345,,19.294183,72.85983
DOWN,9,SHREENATH COMPLEX,,,29409,,19.292142,72.861849
DOWN,10,CHAITANYA HOSPITAL,,,29549,,19.290255,72.86381
DOWN,11,SHIVAR GARDEN,,,29401,,19.288422,72.865637
DOWN,12,BEVERLY PARK,,,29051,,19.286987,72.867531
DOWN,13,S.K.STONE,,,29343,,19.285389,72.869749
DOWN,14,SUNDAR NAGAR,,,29433,,19.284387,72.871148
DOWN,15,SILVER PARK,,,29417,,19.282112,72.874203
DOWN,16,HITCO,,,29179,,19.279891,72.877296
DOWN,17,GREEN PARK,,,29170,,19.277732,72.878781
DOWN,18,PLEASANT PARK (MIRA ROAD),,,29309,,19.27522,72.877108
DOWN,19,KASHIMIRA TELEPHONE EXCHANGE,,,29259,,19.27241,72.87633
DOWN,20,SHRIKRISHNA GARDEN SOCIETY,,,29407,,19.269727,72.876093
DOWN,21,MIDC MIRA ROAD,,,29256,,19.266692,72.876894
DOWN,22,MAHAVISHNU  SAMRAT HOTEL,,,29237,,19.265183,72.875743
DOWN,23,GOLDEN CHEMICALS,,,29167,,19.262083,72.873681
DOWN,24,DAHISAR CHECK NAKA,,,29110,,19.257511,72.871581
DOWN,25,KETAKI PADA,,,29214,,19.255857,72.869308
DOWN,26,NOVELTY SILK MILL,,,29291,,19.254409,72.864924
DOWN,27,VIDYA MANDIR,,,29456,,19.254851,72.862546
DOWN,28,SAVE NAGAR  GAONDEVI MANDIR,,,29377,,19.255157,72.860834
DOWN,29,DAHISAR MARKET,,,34057,,19.25577,72.858008
DOWN,30,DAHISAR BRIDGE,,,34051,,19.254956,72.856563
DOWN,31,KANDAR PADA (DAHISAR BRIDGE),,,34100,,19.254693,72.85448
DOWN,32,NAVA GAON,,,34130,,19.25125,72.853778
DOWN,33,MARY IMMACULATE SCHOOL,,,34121,,19.247817,72.853847
DOWN,34,TECHNICAL SCHOOL,,,34184,,19.242948,72.853964
DOWN,35,BHAGWATI HOSPITAL,,,34231,,19.241015,72.854546
DOWN,36,RAM MANDIR,,,34145,,19.237194,72.855005
DOWN,37,PAI NAGAR,,,34134,,19.234475,72.85512
DOWN,38,BORIVALI BUS STATION (W),,,34020,,19.231784,72.85692
DOWN,39,BORIVALI STATION (W),,,34032,,19.230753,72.855979
DOWN,40,VRUNDAS HOTEL,,,34228,,19.229496,72.853535
DOWN,41,MAHARASHTRA NAGAR,,,34118,,19.228637,72.851367
DOWN,42,BABHAI NAKA,,,34008,,19.228545,72.848457
DOWN,43,VAZIRA NAKA,,,34190,,19.228958,72.844672
DOWN,44,DON BOSCO SCHOOL,,,34067,,19.229706,72.842236
DOWN,45,M.H.B.COLONY,,,34233,,19.230553,72.838355
DOWN,46,GORAI DEPOT,,,34086,,19.232101,72.830432
DOWN,47,SUVIDHYA SCHOOL,,,34181,,19.229932,72.828703
DOWN,48,GORAI BRIDGE,,,34082,,19.225993,72.828059
DOWN,49,PRABODHANKAR THACKERAY NAGAR BUS STATION,,,8169,,19.219959,72.828787
DOWN,50,SAIBABA MANDIR,,,8223,,19.218061,72.828712
DOWN,51,PRABODHANKAR THACKERAY NAGAR MARKET,,,8023,,19.215667,72.82859
DOWN,52,BANK OF MAHARASHTRA,,,8132,,19.212596,72.82845
DOWN,53,SAHYADRI NAGAR,,,8213,,19.210337,72.828937
DOWN,54,HINDUSTAN NAKA   C. CHARANSINGH CHOWK,,,8075,,19.20798,72.829433
DOWN,55,HINDUSTAN NAKA  C. CHARANSINGH CHOWK,,,8078,,19.207013,72.829082
DOWN,56,KANDIVALI INDUSTRIAL ESTATE GANESH NAGAR,,,8102,,19.204176,72.828314
DOWN,57,EKTA NAGAR,,,28066,,19.201303,72.828098
DOWN,58,ASMITA JYOTI,,,28121,,19.196324,72.826904
DOWN,59,TOWNSHIP MUNICIPAL SCHOOL,,,28175,,19.196214,72.824831
DOWN,60,FIRE BRIGADE KHARODI COLONY,,,28042,,19.195237,72.822131
DOWN,61,MALVANI BLOCK NO 5  POLICE STATION,,,28102,,19.191315,72.821573
DOWN,62,MALVANI BLOCK NO 6,,,28104,,19.1892,72.819788
DOWN,63,MALVANI BLOCK NO 7,,,28107,,19.186218,72.818887
DOWN,64,MALVANI DEPOT / GAIKWAD NAGAR,,,28116,,19.183526,72.819184
