,route_name,from_stop_name,to_stop_name,total_passenger,total_amount,direction,from_stop_no,from_lat,from_long,to_lat,to_long,to_stop_no
118,7006,bhayandar pada,gartan pada,10,150,down,30,19.283685,72.952358,19.252261,72.867912,13
119,7006,borivali station east,gartan pada,7,35,up,5,19.227846,72.857949,19.252261,72.867912,13
120,7006,cadbury junction thane,gartan pada,10,200,down,53,19.203952,72.968584,19.252261,72.867912,13
121,7006,chena bridge,gartan pada,4,40,down,25,19.275712,72.916131,19.252261,72.867912,13
122,7006,gaimukh,gartan pada,2,30,down,28,19.2854,72.936384,19.252261,72.867912,13
123,7006,ghodbunder village junction,gartan pada,1,10,down,22,19.286953,72.893875,19.252261,72.867912,13
124,7006,golden chemicals,gartan pada,4,20,down,15,19.263041,72.873794,19.252261,72.867912,13
125,7006,jain mandir versova,gartan pada,2,20,down,23,19.285383,72.899832,19.252261,72.867912,13
126,7006,kajupada,gartan pada,9,90,down,26,19.279093,72.922685,19.252261,72.867912,13
127,7006,kapur bawdi,gartan pada,10,200,down,49,19.221197,72.977952,19.252261,72.867912,13
128,7006,louis wadi,gartan pada,18,360,down,55,19.195812,72.962565,19.252261,72.867912,13
129,7006,magathane depot,gartan pada,84,420.06,up,0,19.221336,72.866122,19.252261,72.867912,13
130,7006,majiwada,gartan pada,4,80,down,50,19.215632,72.97819,19.252261,72.867912,13
131,7006,manpada,gartan pada,16,320,down,46,19.235236,72.976318,19.252261,72.867912,13
132,7006,marathon chowk teen hath naka,gartan pada,12,240,down,56,19.187546,72.964029,19.252261,72.867912,13
133,7006,nency colony,gartan pada,2,10,up,9,19.237912,72.863431,19.252261,72.867912,13
134,7006,omkareshwar mandir,gartan pada,2,10,up,7,19.231425,72.862322,19.252261,72.867912,13
135,7006,ovale village,gartan pada,12,180,down,32,19.276025,72.959046,19.252261,72.867912,13
136,7006,patli pada,gartan pada,2,40,down,43,19.246131,72.975986,19.252261,72.867912,13
137,7006,thane station east,gartan pada,42,840,down,61,19.18517,72.97561,19.252261,72.867912,13
138,7006,transport corporation,gartan pada,29,145,down,18,19.269584,72.878662,19.252261,72.867912,13
139,7006,versova bridge,gartan pada,12,120,down,24,19.284969,72.904808,19.252261,72.867912,13
140,7006,waghbil,gartan pada,26,520,down,41,19.252563,72.972696,19.252261,72.867912,13
141,7006,western hotel laxmi baug,gartan pada,63,315.06,down,21,19.27639,72.888952,19.252261,72.867912,13
142,7006,anand nagar,golden chemicals,7,105,down,37,19.264687,72.967836,19.263041,72.873794,15
143,7006,borivali station east,golden chemicals,38,190,up,5,19.227846,72.857949,19.263041,72.873794,15
144,7006,cadbury junction thane,golden chemicals,3,60,down,53,19.203952,72.968584,19.263041,72.873794,15
145,7006,dnyansadhana college kopari,golden chemicals,1,20,down,57,19.184195,72.96517,19.263041,72.873794,15
146,7006,gaimukh,golden chemicals,1,10,down,28,19.2854,72.936384,19.263041,72.873794,15
147,7006,gartan pada,golden chemicals,8,40,up,13,19.252261,72.867912,19.263041,72.873794,15
148,7006,kajupada,golden chemicals,1,10,down,26,19.279093,72.922685,19.263041,72.873794,15
149,7006,kapur bawdi,golden chemicals,2,40,down,49,19.221197,72.977952,19.263041,72.873794,15
150,7006,louis wadi,golden chemicals,2,40,down,55,19.195812,72.962565,19.263041,72.873794,15
151,7006,magathane depot,golden chemicals,24,240,up,0,19.221336,72.866122,19.263041,72.873794,15
152,7006,majiwada,golden chemicals,2,40,down,50,19.215632,72.97819,19.263041,72.873794,15
153,7006,manpada,golden chemicals,2,40,down,46,19.235236,72.976318,19.263041,72.873794,15
