,route_name,from_stop_name,to_stop_name,total_passenger,total_amount,stop-number,from_lat,from_long,to_lat,to_long
91,7015,magathane depot,kashi mira,1,15,29231,19.221336,72.866122,19.221336,72.866122
92,7015,magathane depot,ketaki pada,1,10,29231,19.221336,72.866122,19.221336,72.866122
93,7015,magathane depot,mahindra company gate or b h a d colony,1,5,29231,19.221336,72.866122,19.221336,72.866122
94,7015,magathane depot,mira road station east,7,70,29231,19.221336,72.866122,19.221336,72.866122
95,7015,magathane depot,novelty silk mill,53,265,29231,19.221336,72.866122,19.221336,72.866122
96,7015,magathane depot,omkareshwar mandir,1,5,29231,19.221336,72.866122,19.221336,72.866122
97,7015,magathane depot,samata nagar bus station kandivali east,33,165,29231,19.221336,72.866122,19.221336,72.866122
98,7015,magathane depot,srushti,11,110,29231,19.221336,72.866122,19.221336,72.866122
99,7015,magathane telecom exchange,apna bazar,7,70,29255,19.216034,72.867048,19.216034,72.867048
100,7015,magathane telecom exchange,borivali station east,68,340,29255,19.216034,72.867048,19.216034,72.867048
101,7015,magathane telecom exchange,dahisar station road east,29,145,29255,19.216034,72.867048,19.216034,72.867048
102,7015,magathane telecom exchange,daulat nagar,3,15,29255,19.216034,72.867048,19.216034,72.867048
103,7015,magathane telecom exchange,golden chemicals,3,30,29255,19.216034,72.867048,19.216034,72.867048
104,7015,magathane telecom exchange,kashi mira,3,45,29255,19.216034,72.867048,19.216034,72.867048
105,7015,magathane telecom exchange,ketaki pada,1,10,29255,19.216034,72.867048,19.216034,72.867048
106,7015,magathane telecom exchange,mira road station east,7,105,29255,19.216034,72.867048,19.216034,72.867048
107,7015,magathane telecom exchange,novelty silk mill,8,80,29255,19.216034,72.867048,19.216034,72.867048
108,7015,magathane telecom exchange,omkareshwar mandir,2,10,29255,19.216034,72.867048,19.216034,72.867048
109,7015,magathane telecom exchange,srushti,2,20,29255,19.216034,72.867048,19.216034,72.867048
110,7015,mira road station,borivali station east,31,310,29263,19.281462,72.858059,19.281462,72.858059
